region_id,canon_region_id
03ded6ee-9d11-4635-aa94-7d80b6f6df0f,076ee7b4-8a71-4d05-96c7-f0b7c3b7d877
14709847-f965-47cd-84d9-74c003c3d4dc,f42b2ed0-bcc2-4de6-95dc-c0570a2d9ddb
2c872e62-1095-46c8-af8f-37f8114eea5a,f149c8c0-2cfc-499e-b23f-5b25909c0669
8eb95dda-f965-4847-ba9b-efe926b2886d,a582a8ad-f506-479b-acb7-38e7e68667af
38095774-3b00-4f5b-b79c-c0e39731ab49,1729e4a0-b341-49b5-bd8d-5b3fa283d5aa
623e2cc1-d3d6-4a9e-ba61-b73400b961bd,2c29a187-c28b-4f6f-a506-d71fad118bbe
7ff1cf9e-c47b-45d4-b4b0-930fa1970f9c,2c29a187-c28b-4f6f-a506-d71fad118bbe
a364e116-4589-4a46-b698-1b05e1f8eb5d,2c29a187-c28b-4f6f-a506-d71fad118bbe
a74905c1-bcc0-44ad-9e1f-7e3f5cd8539b,8b2efabe-f9a8-44da-9e58-d1e9de68c6ac
2ba9f8b2-8a6f-407c-91be-5026eb9cc1d0,8b2efabe-f9a8-44da-9e58-d1e9de68c6ac
4de76306-d300-458b-9ff6-24820ed709a6,8b2efabe-f9a8-44da-9e58-d1e9de68c6ac
166499fc-e2f9-49c8-9277-7ad0b321f9d9,8b2efabe-f9a8-44da-9e58-d1e9de68c6ac
2be4d177-0f03-4b01-b64b-539533b4b339,92d80874-0990-4c74-b39a-d3c90f9dc354
2131d0aa-c42a-4b74-8841-31865ae1162d,92d80874-0990-4c74-b39a-d3c90f9dc354
49fc01a7-7fb6-41c7-b2de-adc1a39b028a,cee0093a-5a98-41ea-a70a-ace1a32301d3
8569ed16-80bd-429d-af3b-ac6e67ab78bf,76be1f86-9187-4732-97d9-9adbcdeb0a65
88431b76-0d58-4fd7-9845-23a13fd9c944,76be1f86-9187-4732-97d9-9adbcdeb0a65
287da2cf-59dc-4ac0-a440-c44f4daa823a,cee0093a-5a98-41ea-a70a-ace1a32301d3
6ace959d-6ed3-4e0b-a00f-4eaa6da80a31,cee0093a-5a98-41ea-a70a-ace1a32301d3
781cbef2-7b2c-4885-b385-ee27f726ca10,cee0093a-5a98-41ea-a70a-ace1a32301d3
4ae0e9f5-92dd-4db0-8ae9-444ef652e490,
0e645497-a7de-49b2-9976-a601e685f0d2,61088633-783c-4e55-80ef-6ca1ebb76674
224eac2c-8856-45e8-9d58-836a10f11b0d,e8467b37-7c84-484c-81b4-10e2429f5554
6a4417e5-ad99-4ed8-9091-1e846f098d90,e8467b37-7c84-484c-81b4-10e2429f5554
931fc903-7f0a-4ec5-b726-083203b7ea09,d155a4e4-3321-491c-a4cb-e437441ead8b
7920a2e0-934e-4eb8-bd1d-b7e6692419ce,1a0afa70-a034-4cc1-9a8d-8ee14004714f
99eb2b0f-2663-4649-a8ef-cb3b44f5e3c3,e91ffa99-2b3f-4c0f-a6b9-390a4036d576
01a65d41-243f-4284-b028-e67e5f700fc2,e91ffa99-2b3f-4c0f-a6b9-390a4036d576
8ded7c2f-a0b0-44fb-a912-474373ceb369,d217f24c-1991-4702-a114-9ebbfe77ac36
a37bef19-2c8b-498e-a774-cc87372206fe,e98f441f-b440-4a3c-b80a-74739a91393b
233473e5-a8fd-4399-becf-a11958cd7ebf,2cf72104-4e42-4f8f-af11-be815d4ac19f
0aa3d2e1-87fa-4e80-8e6f-705f86ad46dd,
2c40a7f2-3b3a-4a2d-bbc7-0c6f42b06741,4aed8767-3637-4924-af61-5a86197e91b2
7d2f9510-852c-4d91-a8ad-fcd62063f72b,
850da6d3-5e69-43e9-8120-ca4c6bd2de7f,faea9078-b65b-4bf1-a714-8094de0ab3ad
0acfe0a6-7c06-4b7c-9b49-83f398aa6cbb,7d8e6c8c-e1a2-4e44-8475-0bbfe661731f
551d6226-14ae-43ec-bc73-8df2e7155a99,e222e27c-8860-4ab1-8577-d5d41c4e65e2
7cc9620c-0063-40b4-9656-fb4a5f781746,80491a08-f24a-401d-b633-dd3675f51691
8e182848-7412-45cd-9230-d15fd7d5def2,448cc48d-9482-4008-824b-98e212e631a7
1ed30d7f-0c4b-4dcf-9a8d-2c5339719330,
0b19fbe5-58e0-4dbb-838a-5bd8363987d6,898f304e-31a1-48f7-b5f3-42e6fb2eb0b6
a38fdde7-fd31-44e2-b651-be3ccaf87d03,
9ad2618b-0315-42e2-9055-47265a65b649,e8467b37-7c84-484c-81b4-10e2429f5554
36b1eb58-295d-4802-aab3-b416c602e091,e91ffa99-2b3f-4c0f-a6b9-390a4036d576
026a3419-6279-4dbd-a42d-13e82b0443aa,29bbad65-8b00-466e-9568-cf8a560ae84a
4e9e7ef5-8976-44c3-9c7d-dd48de2897de,29bbad65-8b00-466e-9568-cf8a560ae84a
